Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-05,Israel,15,3,0,0,Local transmission,0
2020-03-05,Denmark,10,2,0,0,Local transmission,0
2020-03-05,Croatia,9,0,0,0,Local transmission,1
2020-03-05,Greece,9,2,0,0,Local transmission,0
2020-03-05,Finland,7,0,0,0,Local transmission,2
2020-03-05,Portugal,7,5,0,0,Local transmission,0
2020-03-05,Belarus,6,5,0,0,Local transmission,0
2020-03-05,Czechia,5,0,0,0,Imported cases only,1
2020-03-05,Romania,4,0,0,0,Local transmission,1
2020-03-05,Azerbaijan,3,0,0,0,Imported cases only,4
2020-03-05,Georgia,3,0,0,0,Imported cases only,4
2020-03-05,Russian Federation,3,0,0,0,Imported cases only,2
2020-03-05,Estonia,2,0,0,0,Imported cases only,1
2020-03-05,Hungary,2,2,0,0,Imported cases only,0
2020-03-05,Ireland,2,0,0,0,Imported cases only,1
2020-03-05,Andorra,1,0,0,0,Imported cases only,2
2020-03-05,Armenia,1,0,0,0,Imported cases only,3
2020-03-05,Latvia,1,0,0,0,Imported cases only,2
2020-03-05,Lithuania,1,0,0,0,Imported cases only,6
2020-03-05,Luxembourg,1,0,0,0,Imported cases only,3
2020-03-05,Monaco,1,0,0,0,Under investigation,4
2020-03-13,Republic of Korea,7979,110,66,0,Local transmission,0
2020-03-13,Japan,675,55,19,4,Local transmission,0
2020-03-13,Singapore,187,9,0,0,Local transmission,0
2020-03-13,Australia,140,18,3,0,Local transmission,0
2020-03-13,Malaysia,129,0,0,0,Local transmission,2
2020-03-13,Philippines,52,0,2,0,Local transmission,1
2020-03-13,Viet Nam,39,0,0,0,Local transmission,1
2020-03-13,Brunei Darussalam,12,0,0,0,Imported cases only,1
2020-03-13,Cambodia,5,2,0,0,Local transmission,0
2020-03-13,New Zealand,5,0,0,0,Local transmission,6
2020-03-13,Mongolia,1,0,0,0,Imported cases only,3
2020-03-13,French Polynesia,1,0,0,0,Imported cases only,1
2020-03-13,Italy,15113,2651,1016,189,Local transmission,0
2020-03-13,Spain,2965,825,84,36,Local transmission,0
2020-03-13,France,2860,591,61,13,Local transmission,0
2020-03-13,Germany,2369,802,6,3,Local transmission,0
2020-03-13,Switzerland,858,213,6,2,Local transmission,0
2020-03-13,Denmark,674,59,0,0,Local transmission,0
2020-03-13,Sweden,620,159,0,0,Local transmission,0
2020-03-13,Netherlands,614,111,5,0,Local transmission,0
2020-03-13,The United Kingdom,594,134,8,2,Local transmission,0
2020-03-13,Austria,361,59,1,1,Local transmission,0
2020-03-13,Belgium,314,0,0,0,Local transmission,1
2020-03-13,Norway,489,0,0,0,Local transmission,1
2020-03-13,Czechia,116,22,0,0,Local transmission,0
2020-03-13,Finland,109,69,0,0,Local transmission,0
2020-03-13,Greece,98,0,1,0,Local transmission,1
2020-03-13,Israel,75,0,0,0,Local transmission,2
2020-03-13,Ireland,70,27,1,0,Local transmission,0
2020-03-13,San Marino,63,0,2,0,Local transmission,2
2020-03-13,Iceland,61,0,0,0,Local transmission,3
2020-03-13,Slovenia,57,0,0,0,Local transmission,1
2020-03-13,Poland,49,5,1,1,Local transmission,0
2020-03-13,Romania,48,0,0,0,Local transmission,1
2020-03-13,Portugal,41,0,0,0,Local transmission,2
2020-03-13,Russian Federation,34,14,0,0,Imported cases only,0
2020-03-13,Georgia,25,2,0,0,Imported cases only,0
2020-03-13,Albania,23,13,0,0,Imported cases only,0
2020-03-13,Slovakia,21,11,0,0,Local transmission,0
2020-03-13,Serbia,19,0,0,0,Under investigation,1
2020-03-13,Luxembourg,17,0,0,0,Imported cases only,1
2020-03-13,Croatia,16,0,0,0,Local transmission,2
2020-03-13,Hungary,16,3,0,0,Local transmission,0
2020-03-13,Latvia,16,0,0,0,Imported cases only,1
2020-03-13,Estonia,13,0,0,0,Imported cases only,2
2020-03-13,United States of America,1264.0,277.0,36.0,7.0,Local transmission,0.0
2020-03-13,Canada,138.0,45.0,1.0,0.0,Local transmission,0.0
2020-03-13,Brazil,77.0,25.0,0.0,0.0,Local transmission,0.0
2020-03-13,Chile,33.0,10.0,0.0,0.0,Local transmission,0.0
